School Name,Start Date,End Date,Notes,Degree Name,Activities
High Tech Institute-Nashville,2005,2007,Computer Networking and Security,Associate's degree,
High Tech Institute,2004,2006,AITP Competitions,A.A.S,AITP Treasurer
